1451851202,22.4,9,21.97,179.4,234.8,0.5,0.03,0.3
1451851262,22,9,19.02,190.3,203.5,0.6,0.03,0.5
1451851322,22.4,9,17.07,197.7,246.6,0.5,0.03,0.5
1451851383,22.4,10,21.38,207.6,213.5,0.6,0.04,0.4
1451851442,22.8,9,20.26,202,216.5,0.6,0.04,0.5
1451851502,22.8,10,20.79,200.7,234.8,0.5,0.04,0.4
1451851562,23.1,9,21.38,188.5,213.5,0.6,0.05,0.4
1451851622,23.1,8,20.91,190.7,239.5,0.5,0.05,0.4
1451851742,23.5,10,19.19,195,218.8,0.6,0.06,0.5
1451851802,23.9,10,21.97,197.8,240.1,0.5,0.06,0.4
1451851862,23.9,9,19.78,201.2,217.7,0.6,0.06,0.5
1451851922,24.2,9,20.2,195.6,226.5,0.6,0.07,0.5
1451851983,24.2,9,19.49,181,218.3,0.6,0.07,0.4
1451852043,24.2,10,21.08,175.7,233,0.5,0.07,0.4
1451852102,1.4013e-45,-0.33373,0,-0.33373,1.4013e-45,1.3703e-40,1.36638e-40,6.43869e-41
1451852162,24.2,9,21.56,181.9,211.7,0.5,0.08,0.4
1451852222,24.2,10,18.48,198.9,221.2,0.6,0.08,0.4
1451852283,24.6,11,16.71,211.5,226.5,0.7,0.09,0.6
1451852342,1.4013e-45,-0.475942,0,-0.475942,1.4013e-45,1.3703e-40,1.36638e-40,6.43869e-41
1451852402,25,12,19.25,252.1,223.6,0.8,0.09,0.6
1451852462,25,13,17.13,270.9,232.4,0.8,0.1,0.7
1451852523,25.3,13,20.73,298.2,223.6,0.8,0.1,0.6
1451852582,25.3,14,19.67,311.3,241.3,0.8,0.11,0.7
1451852642,25.7,14,21.32,323.6,234.8,0.9,0.11,0.6
1451852702,25.7,14,21.56,311.7,228.9,0.9,0.12,0.6
1451852762,26.1,13,21.2,292.1,230.1,0.8,0.12,0.6
1451852823,26.1,12,21.79,264.8,239.5,0.7,0.13,0.5
1451852882,26.1,11,21.2,250.3,241.3,0.6,0.13,0.5
1451852942,26.4,12,21.62,246.9,234.8,0.7,0.14,0.5
1451853002,26.8,11,17.72,248.8,215.3,0.8,0.14,0.6
1451853063,26.8,12,17.66,283.8,247.2,0.7,0.14,0.7
1451853122,27.2,15,22.27,331.7,207,1.1,0.15,0.7
1451853182,27.2,15,18.25,362.1,202.9,1.2,0.15,1
1451853242,27.2,20,18.13,425.4,249.6,1.1,0.16,1
1451853303,27.2,19,22.44,470,231.3,1.3,0.17,0.9
1451853363,27.5,21,20.14,481.1,233,1.4,0.18,1
1451853422,27.5,22,21.2,488.8,238.4,1.4,0.18,1.1
1451853482,27.9,18,21.79,482.2,239.5,1.3,0.19,1.1
1451853542,27.9,20,21.79,457.2,241.3,1.2,0.2,1
1451853603,27.9,18,21.14,425.6,230.7,1.1,0.21,0.9
1451853662,28.3,19,21.73,416.6,226.5,1.2,0.21,0.9
1451853722,28.6,18,21.08,414.5,242.5,1,0.22,0.9
1451853782,28.6,19,20.2,434.4,229.5,1.2,0.23,0.9
1451853843,28.6,21,21.32,453.1,244.9,1.2,0.24,1
1451853902,1.4013e-45,-0.416616,0,-0.416616,1.4013e-45,1.3703e-40,1.36638e-40,6.43869e-41
1451853962,29.4,23,21.5,513.3,228.3,1.4,0.25,1
1451854022,29.4,23,19.96,537.1,232.4,1.4,0.26,1.1
1451854083,29.4,23,20.91,564.9,225.4,1.7,0.27,1.3
1451854142,29.7,23,21.79,579.9,232.4,1.5,0.28,1.2
1451854202,29.7,25,22.03,552.4,239.5,1.5,0.29,1.2
1451854262,30.1,23,21.14,509.4,231.9,1.4,0.3,1.2
1451854323,30.2,20,21.73,464.4,234.2,1.3,0.31,1
1451854382,1.4013e-45,-0.28185,0,-0.28185,1.4013e-45,1.3703e-40,1.36638e-40,6.43869e-41
1451854442,30.2,17,21.32,406,235.4,1.2,0.32,0.9
1451854502,30.3,18,20.91,406.2,228.3,1.2,0.33,0.8
1451854622,30.4,19,20.2,404,230.1,1.2,0.34,0.9
1451854683,30.3,17,21.5,383.3,227.7,1.1,0.35,0.8
1451854743,30.4,17,20.67,358.6,232.4,1,0.35,0.8
1451854802,1.4013e-45,-0.372792,0,-0.372793,1.4013e-45,1.3703e-40,1.36638e-40,6.43869e-41
1451854862,30.5,14,21.02,318.3,240.1,0.8,0.36,0.7
1451854922,30.5,15,21.14,300.1,240.1,0.8,0.37,0.6
1451854983,30.7,14,21.14,299,229.5,0.8,0.37,0.6
1451855042,30.7,13,20.67,302.8,219.4,0.9,0.38,0.6
1451855102,30.7,13,20.61,303.2,239.5,0.8,0.38,0.6
1451855162,30.8,14,21.97,290.7,231.3,0.9,0.39,0.6
1451855223,30.8,13,21.73,293,231.9,0.8,0.39,0.6
1451855282,1.4013e-45,-0.413686,0,-0.413686,1.4013e-45,1.3703e-40,1.36638e-40,6.43869e-41
1451855342,30.8,13,21.67,276,225.9,0.8,0.4,0.6
1451855402,30.8,13,20.67,282.7,218.8,0.8,0.41,0.6
1451855463,30.7,16,21.02,283.9,233,0.8,0.41,0.6
1451855522,1.4013e-45,-0.467763,0,-0.467763,1.4013e-45,1.3703e-40,1.36638e-40,6.43869e-41
1451855582,30.8,13,20.14,275.8,235.4,0.8,0.42,0.6
1451855643,30.7,11,19.61,260.2,244.3,0.7,0.43,0.6
1451855703,30.7,11,20.2,264.9,207.6,0.8,0.43,0.6
1451855762,1.4013e-45,-0.26061,0,-0.26061,1.4013e-45,1.3703e-40,1.36638e-40,6.43869e-41
1451855822,30.8,15,19.37,302.9,205.2,1,0.44,0.8
1451855882,30.8,15,21.91,333,245.5,0.9,0.45,0.7
1451855943,30.9,17,21.85,351.3,224.8,1,0.45,0.7
1451856002,30.9,15,21.32,367.2,221.8,1.1,0.46,0.8
1451856062,30.9,17,18.78,384.6,240.1,1.1,0.46,0.9
1451856122,30.9,18,17.07,408,211.7,1.3,0.47,1.1
1451856183,30.9,22,21.97,504.9,245.5,1.4,0.48,1.1
1451856242,30.9,22,18.9,539.1,236.6,1.5,0.49,1.2
1451856302,30.9,23,18.66,561.6,227.7,1.7,0.5,1.3
1451856362,30.9,25,21.62,590.6,223.6,1.6,0.51,1.2
1451856422,31,27,21.26,594.9,234.2,1.7,0.51,1.3
1451856483,30.9,25,21.62,615.3,234.8,1.7,0.53,1.3
1451856542,1.4013e-45,-0.404653,0,-0.404653,1.4013e-45,1.3703e-40,1.36638e-40,6.43869e-41
1451856602,30.9,29,22.09,669.5,224.8,1.9,0.55,1.3
1451856662,30.9,28,21.44,665,231.3,1.8,0.56,1.4
1451856723,30.9,28,21.5,646.4,240.7,1.6,0.57,1.3
1451856782,30.9,25,22.15,611.9,243.7,1.5,0.58,1.2
1451856842,30.9,26,21.08,610.3,237.2,1.6,0.59,1.2
1451856902,30.8,24,22.03,615.6,236,1.7,0.6,1.3
1451856963,31,26,21.08,640.6,239,1.7,0.61,1.3
1451857022,1.4013e-45,-0.364614,0,-0.364614,1.4013e-45,1.3703e-40,1.36638e-40,6.43869e-41
1451857082,31.1,28,21.44,679.1,241.9,1.8,0.63,1.4
1451857142,31.1,28,21.38,672.3,237.2,1.8,0.64,1.5
1451857203,31.1,26,21.79,643.2,238.4,1.7,0.65,1.3
1451857262,1.4013e-45,-0.335805,0,-0.335805,1.4013e-45,1.3703e-40,1.36638e-40,6.43869e-41
1451857322,31.2,24,21.2,586.5,235.4,1.7,0.67,1.2
1451857383,31.1,27,21.79,620.6,225.9,1.7,0.68,1.3
1451857443,31.1,29,21.2,664.7,226.5,1.9,0.69,1.4
1451857502,31.2,30,21.67,715.7,237.2,1.9,0.71,1.4
1451857562,31.4,32,22.27,735.5,231.3,2.1,0.72,1.5
1451857622,31.4,34,21.26,761.6,232.4,2.2,0.73,1.6
1451857683,31.2,35,21.26,788.6,240.1,2.2,0.74,1.7
1451857742,31.1,34,20.43,793.2,243.7,2,0.76,1.6
1451857802,31.2,34,20.67,802.9,227.1,2.3,0.77,1.8
